,Timestamp,Machine Mode,System,exactTripTime
78,2021-09-23 19:01:00,User Time,RF,2021-09-23T16:01:55.000000000
79,2021-09-28 08:25:00,User Time,Front End,2021-09-28T05:25:27.000000000
80,2021-09-29 04:30:00,User Time,RF,2021-09-29T01:29:57.000000000
81,2021-10-06 07:11:00,User Time,RF,2021-10-06T04:11:44.000000000
82,2021-10-07 13:34:00,User Time,PS,2021-10-07T10:34:49.000000000
83,2021-10-25 08:44:00,User Time,RF,2021-10-25T05:44:45.000000000
84,2021-10-25 14:33:00,User Time,PS,2021-10-25T11:32:48.000000000
85,2021-10-26 10:45:00,User Time,PS,2021-10-26T07:45:53.000000000
86,2021-10-28 10:21:00,User Time,Human Error,2021-10-28T07:20:51.000000000
87,2021-11-03 09:28:00,Injection,RF,2021-11-03T07:28:32.000000000
88,2021-11-07 05:59:00,User Time,Magnet,2021-11-07T03:58:12.000000000
89,2021-11-10 08:49:00,Injection,Human Error,2021-11-10T06:49:43.000000000
90,2021-11-22 17:07:00,User Time,Unknown,2021-11-22T15:07:29.000000000
91,2021-11-28 11:12:00,User Time,Unknown,2021-11-28T09:12:43.000000000
92,2021-11-30 03:37:00,User Time,Unknown,2021-11-30T01:37:50.000000000
93,2021-11-30 08:52:00,User Time,RF,2021-11-30T06:52:09.000000000
94,2021-12-01 08:59:00,User Time,RF,2021-12-01T06:58:16.000000000
95,2021-12-07 15:38:00,User Time,Unknown,2021-12-07T13:37:22.000000000
96,2021-12-13 12:23:00,User Time,RF,2021-12-13T10:23:50.000000000
97,2021-12-13 19:08:00,User Time,Unknown,2021-12-13T17:08:33.000000000
98,2021-12-14 08:19:00,User Time,Unknown,2021-12-14T06:18:52.000000000
99,2021-12-15 11:07:00,User Time,RF,2021-12-15T09:07:14.000000000
100,2021-12-16 08:18:00,User Time,RF,2021-12-16T06:18:39.000000000
101,2021-12-22 08:54:00,User Time,RF,2021-12-22T06:53:06.000000000
102,2022-02-21 08:40:00,User Time,RF,0
103,2022-02-21 12:17:00,User Time,RF,0
104,2022-02-23 09:05:00,User Time,RF,0
105,2022-02-23 09:48:00,User Time,RF,0
106,2022-03-09 16:09:00,User Time,RF,0
107,2022-03-13 09:23:00,User Time,RF,0
108,2022-03-13 10:18:00,User Time,RF,0
109,2022-03-13 13:07:00,User Time,RF,0
110,2022-03-13 23:00:00,User Time,Vacuum,0
111,2022-03-14 12:13:00,User Time,RF,0
112,2022-03-14 13:53:00,User Time,RF,0
113,2022-03-21 08:10:00,User Time,Cooling,0
114,2022-03-23 09:04:00,User Time,Cooling,0
115,2022-03-24 11:44:00,User Time,Unknown,0
116,2022-03-30 09:46:00,User Time,Diagnostic,0
117,2022-04-01 05:10:00,User Time,RF,0
118,2022-06-07 14:58:00,Beamline Preparation,Vacuum,0
119,2022-06-09 15:38:00,Beamline Preparation,PS,0
120,2022-06-15 19:18:00,User Time,Human Error,0
121,2022-06-15 21:25:00,User Time,Unknown,0
122,2022-06-15 22:36:00,User Time,Human Error,0
123,2022-06-15 23:49:00,User Time,RF,0
124,2022-06-18 02:49:00,Beamline Preparation,Vacuum,0
125,2022-06-18 17:21:00,Beamline Preparation,RF,0
126,2022-06-23 04:48:00,User Time,Vacuum,0
127,2022-06-30 18:05:00,User Time,Diagnostic,0
128,2022-07-05 06:22:00,User Time,Diagnostic,0
129,2022-07-26 08:25:00,User Time,Cooling,0
130,2022-07-26 12:11:00,User Time,Cooling,0
131,2022-08-04 03:00:00,Non-Interrupting ,Cooling,0
132,2022-08-06 19:19:00,Beamline Preparation,Cooling,0
133,2022-09-19 10:26:00,Beamline Preparation,RF,0
134,2022-09-28 08:48:00,User Time,Cooling,0
135,2022-10-30 03:50:00,User Time,Cooling,0
136,2022-11-01 06:40:00,User Time,Vacuum,0
137,2022-11-01 14:49:00,User Time,Vacuum,0
138,2022-11-02 19:46:00,User Time,Vacuum,0
139,2022-11-03 00:18:00,User Time,Vacuum,0
140,2022-11-03 11:50:00,User Time,Front End,0
141,2022-12-01 15:04:00,User Time,Front End,0
142,2022-12-04 20:10:00,User Time,Unknown,0
143,2022-12-07 10:22:00,User Time,RF,0
144,2022-12-25 13:09:00,User Time,RF,0
145,2022-12-26 09:13:00,User Time,Front End,0
146,2022-12-26 09:52:00,User Time,Human Error,0
147,2022-12-27 00:09:00,User Time,RF,0
148,2022-12-27 10:59:00,User Time,RF,0
149,2023-01-30 08:40:00,Injection,Cooling,0
150,2023-02-08 00:05:00,User Time,Vacuum,0
151,2023-02-09 08:30:00,Injection,RF,0
152,2023-03-10 01:45:00,User Time,Cooling,0
153,2023-03-13 18:31:00,User Time,RF,0
154,2023-03-14 15:08:00,User Time,Human Error,0
155,2023-03-23 09:30:00,Injection,Diagnostic,0
156,2023-04-04 09:12:00,User Time,Human Error,0
157,2023-04-06 23:30:00,User Time,PS,0
158,2023-04-10 04:23:00,User Time,Cooling,0
159,2023-04-16 08:31:00,Injection,Human Error,0
160,2023-05-09 08:07:00,Injection,RF,0
161,2023-05-09 08:45:00,User Time,RF,0
162,2023-05-09 15:13:00,User Time,Cooling,0
163,2023-05-10 18:22:00,User Time,RF,0
164,2023-05-10 21:20:00,User Time,RF,0
165,2023-05-11 18:00:00,User Time,RF,0
166,2023-05-14 09:24:00,User Time,Human Error,0
167,2023-05-14 10:03:00,Injection,Human Error,0
168,2023-05-18 15:03:00,User Time,RF,0
169,2023-05-18 19:59:00,User Time,Unknown,0
170,2023-05-21 08:38:00,Injection,Human Error,0
171,2023-05-23 15:57:00,User Time,Unknown,0
172,2023-06-07 08:41:00,Injection,Human Error,0
